Gravedad,Modalidad,Motivación,Área Geográfica,Crímenes Graves,Crímenes Menores,Crímenes Violentos,Crímenes No Violentos,Crímenes Motivación Económica,Crímenes de Odio,Crímenes de Pasión/Venganza,Crímenes Urbanos,Crímenes Rurales,Naturaleza,Temporalidad,Involucramiento Tecnológico,Estado del Caso,Crímenes contra Personas,Crímenes contra Propiedad,Crímenes Sexuales,Crímenes Económicos,Crímenes Periodo Anual,Crímenes Hora Día,Cibercrímenes,Crímenes Tradicionales,Casos Resueltos,Casos no resueltos
Media,Contrabando,Rencor,La Paz,7444,9587,Extorsión,Estafa,Lavado de dinero,Xenofobia,Despecho,Asalto,Tráfico de especies,Criminal,2023-11-02,Alto,No resuelto,57,25,79,3,778,15,1,1,71,97
Media,Asalto con violencia,Financiera,La Paz,5083,724,Secuestro,Fraude,Contrabando,Racismo,Rencor,Vandalismo,Caza ilegal,Fraude,2024-01-11,Ninguno,No resuelto,87,98,20,97,1,1,1,0,52,93
Media,Extorsión,Económica,León,138,3859,Extorsión,Hurto,Lavado de dinero,Homofobia,Despecho,Robo,Robo de ganado,Oportunidad,2024-09-10,Ninguno,No resuelto,43,46,64,33,557,19,1,0,12,68
Media,Tráfico de drogas,Fraude,Mérida,6162,910,Violación,Fraude,Lavado de dinero,Racismo,Despecho,Robo,Caza ilegal,Financiera,2024-07-20,Bajo,Resuelto,92,39,45,41,170,9,0,0,37,95
Media,Tráfico de drogas,Personal,Puebla,7205,5222,Extorsión,Robo menor,Lavado de dinero,Homofobia,Celos,Asalto,Tráfico de especies,Fraude,2023-12-07,Alto,Resuelto,21,11,52,13,227,21,1,0,66,84
Baja,Robo de vehículos,Personal,Querétaro,5049,7509,Violación,Estafa,Fraude bancario,Homofobia,Despecho,Vandalismo,Robo de ganado,Fraude,2023-11-02,Alto,Resuelto,78,58,52,72,389,16,1,1,53,66
Baja,Tráfico de drogas,Protesta,León,1017,690,Violación,Fraude,Contrabando,Xenofobia,Celos,Asalto,Caza ilegal,Financiera,2024-08-01,Bajo,Resuelto,54,28,2,51,438,22,0,1,14,5
Alta,Vandalismo,Rescate,Querétaro,5551,3209,Violación,Estafa,Fraude bancario,Xenofobia,Rencor,Vandalismo,Tráfico de especies,Criminal,2023-12-03,Alto,Resuelto,69,10,45,69,576,5,1,1,62,4
Media,Fraude bancario,Protesta,León,607,6146,Violación,Hurto,Contrabando,Racismo,Despecho,Asalto,Robo de ganado,Financiera,2024-02-25,Bajo,No resuelto,45,49,46,18,150,17,0,0,0,5
Baja,Fraude electrónico,Rescate,Torreón,312,1136,Homicidio,Hurto,Contrabando,Homofobia,Rencor,Asalto,Caza ilegal,Oportunidad,2023-12-21,Ninguno,No resuelto,65,22,92,11,330,6,0,1,66,73
Baja,Secuestro,Personal,Veracruz,5620,1745,Homicidio,Hurto,Contrabando,Racismo,Rencor,Vandalismo,Robo de ganado,Fraude,2024-02-15,Ninguno,Resuelto,79,48,6,67,882,13,0,0,76,78
Media,Hurto menor,Financiera,Zacatecas,2200,4648,Violación,Robo menor,Contrabando,Xenofobia,Rencor,Robo,Caza ilegal,Oportunidad,2024-05-25,Bajo,Resuelto,27,25,27,34,778,16,1,1,67,41
Media,Fraude bancario,Rencor,Hermosillo,1268,7472,Asalto,Fraude,Contrabando,Racismo,Celos,Robo,Caza ilegal,Financiera,2023-11-26,Ninguno,Resuelto,58,55,88,18,938,21,1,1,34,16
Baja,Daños a la propiedad,Oportunidad,Aguascalientes,912,7263,Homicidio,Hurto,Lavado de dinero,Xenofobia,Celos,Vandalismo,Robo de ganado,Fraude,2024-07-03,Ninguno,Resuelto,17,92,15,64,848,21,1,0,63,40
Baja,Ciberacoso,Protesta,Monterrey,959,9272,Secuestro,Hurto,Fraude bancario,Racismo,Celos,Asalto,Tráfico de especies,Financiera,2024-03-04,Bajo,Resuelto,43,56,58,15,144,18,0,1,54,100
Alta,Homicidio,Rencor,Reynosa,5912,168,Extorsión,Robo menor,Fraude bancario,Racismo,Despecho,Robo,Caza ilegal,Fraude,2024-05-17,Alto,Resuelto,59,60,75,59,723,2,0,1,58,21
Baja,Tráfico de drogas,Oportunidad,Hermosillo,4655,5007,Secuestro,Hurto,Contrabando,Xenofobia,Despecho,Robo,Tráfico de especies,Fraude,2024-06-26,Bajo,No resuelto,71,3,92,99,509,0,1,1,76,45
Baja,Robo de vehículos,Criminal,Monterrey,1156,843,Asalto,Robo menor,Fraude bancario,Xenofobia,Rencor,Robo,Caza ilegal,Financiera,2024-09-18,Bajo,No resuelto,36,52,39,10,312,4,0,1,48,64
Media,Hurto menor,Oportunidad,Aguascalientes,8053,7668,Extorsión,Estafa,Fraude bancario,Homofobia,Despecho,Asalto,Robo de ganado,Oportunidad,2024-03-05,Alto,No resuelto,77,52,99,84,472,22,1,0,47,60
Baja,Secuestro,Oportunidad,Durango,7605,1048,Asalto,Estafa,Fraude bancario,Homofobia,Celos,Robo,Caza ilegal,Financiera,2024-01-19,Ninguno,Resuelto,37,35,20,21,281,18,1,1,29,26
Media,Daños a la propiedad,Rencor,Hermosillo,9494,3000,Asalto,Robo menor,Fraude bancario,Homofobia,Despecho,Asalto,Tráfico de especies,Fraude,2024-04-12,Alto,No resuelto,31,88,49,76,938,6,1,1,18,28
Alta,Daños a la propiedad,Personal,León,5021,3247,Asalto,Robo menor,Lavado de dinero,Homofobia,Rencor,Robo,Robo de ganado,Oportunidad,2023-12-30,Bajo,No resuelto,14,45,67,3,974,23,0,0,0,59
Baja,Asalto con violencia,Económica,Chihuahua,7334,2602,Homicidio,Fraude,Fraude bancario,Racismo,Despecho,Robo,Caza ilegal,Criminal,2024-02-12,Alto,No resuelto,51,40,4,100,107,14,0,0,16,44
Alta,Secuestro,Económica,Chihuahua,6773,7342,Extorsión,Estafa,Lavado de dinero,Homofobia,Rencor,Vandalismo,Tráfico de especies,Oportunidad,2024-08-15,Alto,No resuelto,55,89,80,58,410,24,0,1,88,100
Alta,Vandalismo,Rescate,La Paz,2401,7296,Homicidio,Robo menor,Contrabando,Xenofobia,Celos,Robo,Robo de ganado,Criminal,2023-11-03,Ninguno,Resuelto,42,82,49,94,338,4,1,1,38,90
Media,Secuestro,Protesta,Veracruz,6043,8577,Violación,Hurto,Fraude bancario,Xenofobia,Despecho,Asalto,Tráfico de especies,Oportunidad,2024-01-03,Alto,Resuelto,68,36,84,46,182,4,1,0,70,86
Media,Daños a la propiedad,Financiera,Reynosa,9847,8915,Homicidio,Estafa,Lavado de dinero,Homofobia,Despecho,Robo,Caza ilegal,Financiera,2024-03-09,Alto,Resuelto,97,39,72,15,701,19,0,0,21,4
Baja,Daños a la propiedad,Económica,Chihuahua,429,5200,Asalto,Robo menor,Contrabando,Homofobia,Celos,Asalto,Robo de ganado,Criminal,2024-03-19,Bajo,No resuelto,77,14,82,0,873,10,1,0,6,79
Media,Fraude electrónico,Personal,Mexicali,1292,8900,Extorsión,Fraude,Lavado de dinero,Homofobia,Celos,Asalto,Caza ilegal,Fraude,2024-01-26,Alto,Resuelto,15,18,63,63,12,3,0,1,97,61
Baja,Tráfico de drogas,Personal,Mexicali,4147,9924,Violación,Fraude,Contrabando,Racismo,Rencor,Vandalismo,Caza ilegal,Criminal,2023-12-02,Bajo,No resuelto,60,51,50,67,740,9,1,0,59,98
Media,Hurto,Rescate,Toluca,1927,992,Asalto,Robo menor,Fraude bancario,Homofobia,Rencor,Vandalismo,Robo de ganado,Oportunidad,2024-01-30,Ninguno,No resuelto,12,4,44,17,979,5,0,0,15,79
Media,Daños a la propiedad,Económica,Toluca,9135,5055,Extorsión,Hurto,Contrabando,Homofobia,Despecho,Robo,Robo de ganado,Fraude,2024-02-27,Alto,Resuelto,53,33,80,4,338,18,0,1,89,79
Alta,Ciberacoso,Fraude,La Paz,9689,853,Extorsión,Estafa,Contrabando,Homofobia,Celos,Asalto,Robo de ganado,Fraude,2024-07-07,Ninguno,Resuelto,48,84,43,95,754,12,0,0,60,53
Baja,Vandalismo,Rencor,Zacatecas,1207,5978,Asalto,Estafa,Fraude bancario,Xenofobia,Celos,Robo,Tráfico de especies,Oportunidad,2024-08-30,Ninguno,Resuelto,30,55,79,12,975,3,1,1,57,98
Alta,Fraude electrónico,Rencor,Veracruz,1281,9107,Extorsión,Fraude,Contrabando,Xenofobia,Celos,Vandalismo,Tráfico de especies,Criminal,2024-09-11,Bajo,No resuelto,99,0,44,100,340,8,1,0,71,89
Alta,Robo de identidad,Rencor,Ciudad de México,7160,6656,Asalto,Robo menor,Lavado de dinero,Xenofobia,Despecho,Robo,Robo de ganado,Financiera,2024-06-25,Ninguno,Resuelto,90,71,75,73,366,18,0,1,71,0
Alta,Fraude bancario,Oportunidad,La Paz,1463,6664,Homicidio,Robo menor,Fraude bancario,Racismo,Celos,Asalto,Tráfico de especies,Financiera,2024-04-23,Ninguno,No resuelto,8,64,85,72,792,15,1,0,72,87
Baja,Homicidio,Económica,Veracruz,9981,9427,Homicidio,Hurto,Lavado de dinero,Xenofobia,Celos,Robo,Tráfico de especies,Oportunidad,2024-03-25,Alto,Resuelto,89,88,70,2,642,8,0,1,23,80
Media,Robo de vehículos,Protesta,León,7740,239,Asalto,Robo menor,Lavado de dinero,Homofobia,Despecho,Asalto,Robo de ganado,Criminal,2024-04-05,Alto,Resuelto,88,88,86,48,791,14,1,1,82,71
Alta,Ciberacoso,Personal,Mexicali,347,4527,Violación,Hurto,Lavado de dinero,Xenofobia,Rencor,Vandalismo,Robo de ganado,Oportunidad,2023-11-10,Bajo,No resuelto,16,17,66,91,485,5,0,1,47,27
Media,Tráfico de drogas,Rencor,Saltillo,3389,6184,Secuestro,Robo menor,Lavado de dinero,Racismo,Rencor,Asalto,Tráfico de especies,Oportunidad,2023-11-10,Bajo,No resuelto,79,92,91,97,562,22,0,1,11,76
Baja,Fraude bancario,Rencor,Tijuana,7635,2122,Asalto,Robo menor,Lavado de dinero,Homofobia,Celos,Robo,Tráfico de especies,Financiera,2024-07-16,Ninguno,No resuelto,100,5,14,18,881,14,0,0,80,72
Media,Violencia doméstica,Protesta,Durango,8151,5704,Secuestro,Estafa,Contrabando,Racismo,Rencor,Vandalismo,Robo de ganado,Fraude,2024-06-13,Ninguno,Resuelto,14,50,90,86,129,18,0,1,13,82
Baja,Violencia doméstica,Económica,La Paz,2384,383,Homicidio,Fraude,Contrabando,Racismo,Rencor,Asalto,Caza ilegal,Financiera,2024-04-23,Bajo,No resuelto,47,15,3,87,255,16,0,0,42,71
Alta,Secuestro,Financiera,Reynosa,1102,1810,Secuestro,Fraude,Contrabando,Homofobia,Despecho,Asalto,Robo de ganado,Criminal,2024-10-03,Alto,Resuelto,6,75,87,38,749,5,0,0,66,100
Media,Ciberacoso,Económica,Monterrey,8013,823,Asalto,Hurto,Contrabando,Homofobia,Despecho,Asalto,Caza ilegal,Fraude,2024-04-28,Bajo,No resuelto,84,55,21,57,174,22,0,1,77,67
Media,Asalto con violencia,Financiera,Durango,498,8787,Asalto,Robo menor,Fraude bancario,Xenofobia,Despecho,Vandalismo,Caza ilegal,Oportunidad,2024-01-14,Alto,Resuelto,52,53,63,63,708,0,0,1,99,45
Media,Homicidio,Protesta,Torreón,3977,5014,Homicidio,Estafa,Contrabando,Homofobia,Rencor,Asalto,Robo de ganado,Financiera,2024-08-24,Ninguno,Resuelto,4,80,62,77,270,13,0,0,51,77
Media,Asalto con violencia,Financiera,Ciudad de México,4204,6670,Asalto,Hurto,Lavado de dinero,Homofobia,Rencor,Vandalismo,Robo de ganado,Oportunidad,2024-04-03,Alto,No resuelto,87,11,27,98,839,2,1,1,13,51
Media,Asalto con violencia,Oportunidad,Mexicali,5621,6700,Asalto,Estafa,Fraude bancario,Xenofobia,Rencor,Asalto,Robo de ganado,Oportunidad,2023-12-23,Bajo,Resuelto,25,69,71,16,161,8,0,0,48,60
Alta,Violencia doméstica,Fraude,Torreón,6313,8744,Asalto,Estafa,Lavado de dinero,Xenofobia,Despecho,Robo,Robo de ganado,Oportunidad,2024-02-29,Alto,No resuelto,48,59,79,44,994,8,0,0,53,16
Media,Robo de identidad,Personal,Zacatecas,1296,9630,Extorsión,Fraude,Fraude bancario,Xenofobia,Despecho,Robo,Robo de ganado,Criminal,2023-11-25,Ninguno,Resuelto,32,46,5,78,103,13,0,0,64,43
Baja,Hurto,Rescate,Mérida,4365,4457,Asalto,Hurto,Lavado de dinero,Homofobia,Celos,Asalto,Caza ilegal,Fraude,2024-05-09,Alto,Resuelto,25,98,41,77,87,20,0,1,60,47
Media,Violencia doméstica,Oportunidad,Veracruz,9368,554,Homicidio,Hurto,Fraude bancario,Homofobia,Celos,Vandalismo,Tráfico de especies,Oportunidad,2024-08-15,Ninguno,Resuelto,17,8,81,22,247,7,1,0,62,77
Media,Hurto menor,Financiera,León,5282,8566,Secuestro,Estafa,Fraude bancario,Homofobia,Celos,Asalto,Caza ilegal,Financiera,2024-06-26,Ninguno,Resuelto,15,49,49,13,328,24,1,1,72,74
Alta,Vandalismo,Rescate,Querétaro,183,7003,Secuestro,Fraude,Fraude bancario,Xenofobia,Celos,Robo,Robo de ganado,Criminal,2023-10-28,Bajo,Resuelto,43,36,88,95,791,18,0,0,68,44
Baja,Asalto con violencia,Oportunidad,Chihuahua,2939,3490,Violación,Fraude,Lavado de dinero,Xenofobia,Rencor,Vandalismo,Caza ilegal,Fraude,2023-11-19,Bajo,Resuelto,14,70,47,76,893,2,1,1,31,63
Media,Robo de vehículos,Criminal,Aguascalientes,2501,8387,Extorsión,Hurto,Contrabando,Homofobia,Celos,Robo,Tráfico de especies,Criminal,2023-11-13,Alto,No resuelto,35,63,56,35,11,13,1,1,55,73
Media,Estafa,Criminal,León,8711,9882,Secuestro,Hurto,Contrabando,Xenofobia,Rencor,Vandalismo,Robo de ganado,Oportunidad,2024-05-07,Bajo,Resuelto,78,80,6,60,288,5,1,1,98,42
Baja,Hurto menor,Protesta,Monterrey,21,5922,Extorsión,Robo menor,Lavado de dinero,Homofobia,Rencor,Asalto,Tráfico de especies,Oportunidad,2024-02-23,Bajo,No resuelto,74,75,0,28,826,5,1,0,59,46
Baja,Extorsión,Rescate,Torreón,6477,5804,Extorsión,Estafa,Fraude bancario,Racismo,Celos,Asalto,Caza ilegal,Criminal,2024-02-20,Bajo,Resuelto,78,6,100,95,130,4,1,1,97,99
Baja,Tráfico de drogas,Financiera,Guadalajara,5474,8938,Asalto,Fraude,Fraude bancario,Xenofobia,Despecho,Robo,Caza ilegal,Fraude,2024-07-16,Alto,No resuelto,49,75,87,79,589,3,0,0,4,52
Alta,Vandalismo,Rencor,Saltillo,6505,5736,Homicidio,Estafa,Lavado de dinero,Homofobia,Rencor,Asalto,Robo de ganado,Fraude,2023-11-22,Bajo,No resuelto,16,16,40,65,561,8,0,1,65,78
Baja,Asalto con violencia,Oportunidad,Toluca,4582,4090,Secuestro,Hurto,Contrabando,Homofobia,Celos,Robo,Tráfico de especies,Oportunidad,2024-07-21,Ninguno,Resuelto,71,44,15,90,978,0,1,1,83,40
Media,Contrabando,Criminal,Ciudad de México,5250,9021,Extorsión,Fraude,Contrabando,Homofobia,Despecho,Vandalismo,Robo de ganado,Financiera,2024-05-25,Bajo,Resuelto,65,94,99,91,104,1,0,0,4,65
Alta,Fraude bancario,Rescate,Durango,8152,8451,Violación,Hurto,Contrabando,Homofobia,Celos,Robo,Caza ilegal,Fraude,2024-01-31,Ninguno,No resuelto,33,66,96,16,494,20,0,1,81,7
Alta,Robo de vehículos,Protesta,Guadalajara,9340,9143,Homicidio,Fraude,Contrabando,Xenofobia,Despecho,Asalto,Tráfico de especies,Financiera,2024-09-11,Bajo,No resuelto,59,92,12,28,937,3,1,1,30,22
Baja,Secuestro,Personal,Mérida,7095,8302,Secuestro,Hurto,Lavado de dinero,Xenofobia,Rencor,Vandalismo,Robo de ganado,Financiera,2024-09-29,Ninguno,No resuelto,40,22,56,2,395,0,1,1,84,1
Media,Estafa,Fraude,Tijuana,9457,26,Homicidio,Hurto,Contrabando,Racismo,Rencor,Asalto,Tráfico de especies,Oportunidad,2024-03-23,Ninguno,No resuelto,97,53,24,4,132,13,1,1,97,17
Baja,Robo de identidad,Económica,Toluca,3559,4807,Homicidio,Estafa,Lavado de dinero,Homofobia,Rencor,Asalto,Robo de ganado,Financiera,2023-11-30,Ninguno,Resuelto,57,78,14,77,186,2,1,0,50,15
Alta,Robo de vehículos,Rescate,Chihuahua,1586,3463,Extorsión,Robo menor,Lavado de dinero,Xenofobia,Rencor,Asalto,Caza ilegal,Oportunidad,2024-05-27,Bajo,Resuelto,20,49,3,89,314,10,1,1,26,52
Alta,Robo de vehículos,Económica,Veracruz,9984,7492,Homicidio,Fraude,Lavado de dinero,Racismo,Celos,Asalto,Tráfico de especies,Fraude,2024-04-26,Alto,No resuelto,83,31,47,40,12,0,1,1,16,96
Alta,Acoso verbal,Rencor,Torreón,3002,8056,Homicidio,Estafa,Fraude bancario,Racismo,Rencor,Asalto,Tráfico de especies,Financiera,2023-12-21,Bajo,Resuelto,62,23,24,4,81,6,1,1,54,52
Alta,Ciberacoso,Fraude,Querétaro,2199,7409,Violación,Estafa,Lavado de dinero,Homofobia,Despecho,Robo,Robo de ganado,Criminal,2023-11-02,Alto,No resuelto,65,84,29,41,3,23,0,1,52,44
Baja,Acoso verbal,Fraude,Mérida,2010,2966,Extorsión,Hurto,Contrabando,Homofobia,Despecho,Vandalismo,Robo de ganado,Oportunidad,2024-05-26,Bajo,No resuelto,57,19,70,75,448,18,0,0,79,62
Alta,Homicidio,Criminal,Ciudad de México,8852,6015,Asalto,Hurto,Fraude bancario,Racismo,Despecho,Vandalismo,Robo de ganado,Financiera,2024-07-29,Ninguno,No resuelto,13,60,3,85,909,7,0,1,72,92
Media,Asalto con violencia,Criminal,Aguascalientes,3723,727,Extorsión,Fraude,Lavado de dinero,Racismo,Celos,Asalto,Caza ilegal,Fraude,2023-11-01,Ninguno,No resuelto,65,49,95,41,975,18,1,1,18,93
Alta,Estafa,Criminal,La Paz,496,813,Asalto,Hurto,Fraude bancario,Racismo,Despecho,Vandalismo,Tráfico de especies,Oportunidad,2024-05-16,Bajo,Resuelto,3,3,2,62,99,9,1,0,52,31
Alta,Acoso verbal,Económica,León,3082,1593,Violación,Estafa,Fraude bancario,Racismo,Despecho,Vandalismo,Caza ilegal,Oportunidad,2024-06-29,Ninguno,No resuelto,9,51,16,14,652,9,1,0,5,40
Media,Contrabando,Personal,La Paz,5182,7633,Secuestro,Robo menor,Lavado de dinero,Xenofobia,Despecho,Asalto,Caza ilegal,Financiera,2024-06-18,Alto,No resuelto,0,42,2,52,721,11,1,1,31,54
Alta,Daños a la propiedad,Rescate,Durango,7831,5645,Secuestro,Fraude,Fraude bancario,Racismo,Despecho,Robo,Robo de ganado,Criminal,2024-01-22,Ninguno,Resuelto,24,86,42,36,4,14,0,1,16,45
Baja,Fraude electrónico,Oportunidad,Chihuahua,8541,1801,Homicidio,Fraude,Contrabando,Homofobia,Celos,Vandalismo,Robo de ganado,Financiera,2024-08-13,Bajo,No resuelto,79,63,73,42,659,15,0,1,58,99
Media,Ciberacoso,Criminal,Mexicali,581,470,Homicidio,Robo menor,Lavado de dinero,Racismo,Rencor,Vandalismo,Caza ilegal,Financiera,2024-03-13,Bajo,Resuelto,58,31,38,3,485,2,0,0,98,45
Media,Contrabando,Fraude,Toluca,130,6505,Asalto,Fraude,Lavado de dinero,Xenofobia,Celos,Asalto,Tráfico de especies,Financiera,2023-12-19,Alto,Resuelto,32,74,68,93,213,14,1,0,51,60
Media,Contrabando,Económica,Toluca,2974,9280,Homicidio,Robo menor,Lavado de dinero,Racismo,Despecho,Asalto,Robo de ganado,Oportunidad,2024-09-18,Bajo,No resuelto,66,87,17,89,63,1,0,0,62,24
Alta,Ciberacoso,Rencor,Mérida,913,6355,Asalto,Hurto,Contrabando,Xenofobia,Celos,Vandalismo,Caza ilegal,Fraude,2024-06-26,Bajo,Resuelto,95,99,8,37,669,6,1,1,36,68
Alta,Asalto con violencia,Oportunidad,Mérida,2293,3150,Extorsión,Estafa,Contrabando,Homofobia,Rencor,Asalto,Tráfico de especies,Criminal,2024-05-24,Alto,No resuelto,46,37,46,73,241,8,0,1,57,87
Alta,Vandalismo,Financiera,La Paz,8107,6662,Secuestro,Fraude,Fraude bancario,Racismo,Rencor,Vandalismo,Tráfico de especies,Financiera,2024-01-25,Ninguno,No resuelto,70,40,41,81,845,3,1,0,6,33
Alta,Secuestro,Financiera,Durango,8373,669,Homicidio,Hurto,Contrabando,Racismo,Celos,Robo,Tráfico de especies,Fraude,2024-04-19,Ninguno,No resuelto,50,91,61,21,991,10,0,0,55,95
Alta,Fraude electrónico,Criminal,La Paz,6842,2524,Violación,Hurto,Lavado de dinero,Homofobia,Celos,Vandalismo,Caza ilegal,Financiera,2024-09-02,Bajo,No resuelto,5,84,57,99,434,18,1,0,52,15
Media,Fraude bancario,Rencor,Durango,6880,7641,Extorsión,Estafa,Contrabando,Racismo,Rencor,Vandalismo,Caza ilegal,Fraude,2024-01-31,Alto,No resuelto,37,17,16,74,32,18,0,1,18,5
Media,Contrabando,Criminal,Tijuana,366,452,Asalto,Estafa,Contrabando,Xenofobia,Celos,Vandalismo,Robo de ganado,Oportunidad,2024-03-15,Alto,Resuelto,6,99,77,20,542,5,1,1,48,87
Baja,Homicidio,Rescate,Guadalajara,8612,1061,Violación,Hurto,Lavado de dinero,Homofobia,Celos,Asalto,Robo de ganado,Criminal,2024-09-21,Alto,Resuelto,70,71,65,76,927,12,1,0,19,42
Media,Tráfico de drogas,Rencor,Torreón,6534,5406,Violación,Fraude,Contrabando,Xenofobia,Celos,Asalto,Tráfico de especies,Criminal,2024-09-21,Ninguno,No resuelto,28,36,47,17,472,19,0,0,14,15
Baja,Ciberacoso,Protesta,Reynosa,5263,7605,Violación,Hurto,Contrabando,Homofobia,Despecho,Robo,Tráfico de especies,Oportunidad,2023-11-04,Alto,No resuelto,54,63,86,85,327,3,0,1,59,8
Media,Ciberacoso,Económica,Puebla,6086,3015,Extorsión,Hurto,Fraude bancario,Homofobia,Rencor,Asalto,Robo de ganado,Oportunidad,2023-11-15,Bajo,No resuelto,56,33,52,36,275,1,0,1,45,100
Baja,Hurto menor,Oportunidad,Tijuana,2678,8079,Violación,Fraude,Lavado de dinero,Xenofobia,Despecho,Vandalismo,Tráfico de especies,Criminal,2024-09-08,Alto,No resuelto,26,34,76,100,348,17,0,1,73,93
Baja,Violencia doméstica,Personal,Durango,1589,5903,Secuestro,Estafa,Contrabando,Racismo,Celos,Vandalismo,Tráfico de especies,Oportunidad,2024-09-28,Ninguno,Resuelto,41,45,72,61,774,7,1,1,8,23
Alta,Fraude bancario,Protesta,Querétaro,7285,3432,Extorsión,Hurto,Lavado de dinero,Homofobia,Despecho,Asalto,Tráfico de especies,Oportunidad,2023-11-07,Bajo,Resuelto,19,14,38,62,406,2,0,0,68,7
Alta,Secuestro,Personal,Mexicali,1456,674,Violación,Robo menor,Contrabando,Racismo,Despecho,Asalto,Caza ilegal,Financiera,2024-09-29,Ninguno,No resuelto,90,73,81,29,969,23,0,1,91,13
Alta,Fraude electrónico,Fraude,Aguascalientes,633,2702,Secuestro,Estafa,Fraude bancario,Xenofobia,Rencor,Robo,Caza ilegal,Criminal,2024-09-16,Alto,Resuelto,12,9,44,30,928,21,1,0,61,20
Media,Robo de vehículos,Económica,Saltillo,6545,9905,Asalto,Robo menor,Contrabando,Racismo,Despecho,Asalto,Tráfico de especies,Oportunidad,2024-03-25,Ninguno,Resuelto,23,93,80,74,123,22,1,1,8,3
Baja,Extorsión,Protesta,Reynosa,9954,4268,Extorsión,Fraude,Lavado de dinero,Homofobia,Rencor,Asalto,Tráfico de especies,Fraude,2024-07-24,Ninguno,Resuelto,16,97,59,49,629,10,0,1,33,13
Alta,Tráfico de drogas,Rencor,Zacatecas,4220,5117,Asalto,Robo menor,Fraude bancario,Racismo,Despecho,Robo,Tráfico de especies,Financiera,2024-05-13,Alto,No resuelto,92,7,38,21,248,22,1,1,32,97
Baja,Extorsión,Criminal,Guadalajara,7934,184,Violación,Estafa,Lavado de dinero,Racismo,Celos,Asalto,Caza ilegal,Fraude,2024-06-11,Bajo,No resuelto,39,2,49,53,262,21,0,1,48,96
Media,Homicidio,Fraude,La Paz,9572,4021,Homicidio,Estafa,Contrabando,Homofobia,Celos,Robo,Robo de ganado,Criminal,2024-05-15,Alto,No resuelto,49,57,22,96,298,18,0,0,57,81
Baja,Violencia doméstica,Oportunidad,Monterrey,4160,9874,Homicidio,Robo menor,Fraude bancario,Xenofobia,Despecho,Robo,Caza ilegal,Oportunidad,2024-08-02,Bajo,Resuelto,53,67,95,5,67,12,0,0,45,93
Baja,Robo de vehículos,Criminal,Reynosa,8563,1623,Violación,Hurto,Fraude bancario,Xenofobia,Celos,Robo,Robo de ganado,Fraude,2023-12-27,Bajo,Resuelto,27,70,30,5,381,2,1,0,32,96
Baja,Estafa,Protesta,Toluca,3710,3582,Homicidio,Hurto,Lavado de dinero,Homofobia,Rencor,Asalto,Robo de ganado,Financiera,2024-08-18,Bajo,Resuelto,72,70,10,5,15,7,0,0,18,77
Baja,Homicidio,Rencor,Durango,9450,8430,Violación,Hurto,Lavado de dinero,Xenofobia,Despecho,Asalto,Tráfico de especies,Oportunidad,2024-04-29,Alto,No resuelto,90,36,95,35,570,24,0,1,98,0
Media,Contrabando,Protesta,Chihuahua,5804,8648,Violación,Robo menor,Contrabando,Homofobia,Despecho,Asalto,Caza ilegal,Oportunidad,2024-08-02,Bajo,No resuelto,21,50,87,54,142,21,0,0,25,80
Baja,Contrabando,Oportunidad,Puebla,6135,3047,Secuestro,Fraude,Fraude bancario,Racismo,Despecho,Asalto,Tráfico de especies,Criminal,2024-01-17,Alto,Resuelto,33,58,13,88,940,15,1,1,56,50
Baja,Ciberacoso,Económica,Puebla,2221,5472,Secuestro,Hurto,Lavado de dinero,Xenofobia,Celos,Robo,Tráfico de especies,Criminal,2024-03-31,Alto,No resuelto,15,78,70,33,515,7,1,0,2,62
Media,Estafa,Personal,Tijuana,6806,173,Violación,Estafa,Lavado de dinero,Xenofobia,Rencor,Vandalismo,Caza ilegal,Oportunidad,2024-05-29,Bajo,No resuelto,32,11,70,90,902,13,1,1,36,30
Alta,Robo de vehículos,Oportunidad,Toluca,4157,345,Asalto,Hurto,Lavado de dinero,Homofobia,Despecho,Robo,Caza ilegal,Financiera,2024-01-13,Bajo,Resuelto,36,98,66,78,656,16,0,0,11,42
Baja,Secuestro,Rencor,Ciudad de México,8209,1612,Violación,Fraude,Lavado de dinero,Xenofobia,Rencor,Vandalismo,Robo de ganado,Oportunidad,2023-12-21,Bajo,Resuelto,48,72,47,37,805,16,1,0,43,30
Media,Tráfico de drogas,Criminal,Reynosa,2189,1215,Violación,Robo menor,Contrabando,Homofobia,Celos,Asalto,Caza ilegal,Fraude,2023-10-19,Ninguno,No resuelto,79,21,69,81,207,14,0,1,88,42
Baja,Ciberacoso,Oportunidad,Mérida,7134,8301,Extorsión,Fraude,Contrabando,Racismo,Celos,Robo,Tráfico de especies,Fraude,2024-06-05,Bajo,No resuelto,69,51,63,82,706,20,1,1,33,43
Alta,Fraude bancario,Rencor,Tijuana,2037,2466,Asalto,Fraude,Contrabando,Homofobia,Rencor,Robo,Robo de ganado,Fraude,2023-11-08,Bajo,Resuelto,11,63,20,4,314,0,1,1,53,12
Alta,Vandalismo,Fraude,Aguascalientes,5790,6080,Extorsión,Fraude,Lavado de dinero,Xenofobia,Despecho,Asalto,Caza ilegal,Oportunidad,2023-11-01,Alto,No resuelto,21,22,18,36,713,6,1,1,82,51
